cim_version,datamodel,object,field,data_type,description,possible_values
4.3.1,Web,Web,action,string,The action taken by the server or proxy.,
4.3.1,Web,Web,app,string,"The app recording the data, such as IIS, Squid, or Bluecoat.",
4.3.1,Web,Web,bytes,number,The total number of bytes transferred (bytes_in + bytes_out).,
4.3.1,Web,Web,bytes_in,number,The number of inbound bytes transferred.,
4.3.1,Web,Web,bytes_out,number,The number of outbound bytes transferred.,
4.3.1,Web,Web,cached,boolean,Indicates whether the event data is cached or not.,"true, false, 1, 0"
4.3.1,Web,Web,category,string,"The category of traffic, such as may be provided by a proxy server.",
4.3.1,Web,Web,cookie,string,The cookie file recorded in the event.,
4.3.1,Web,Web,dest,string,"The destination of the network traffic (the remote host). You can alias this from more specific fields, such as dest_host, dest_ip, ordest_name.",
4.3.1,Web,Web,dest_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,dest_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,dest_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,duration,number,"The time taken by the proxy event, in milliseconds.",
4.3.1,Web,Web,http_content_type,string,The content-type of the requested HTTP resource.,
4.3.1,Web,Web,http_method,string,The HTTP method used in the request.,"GET, PUT,POST, DELETE, etc."
4.3.1,Web,Web,http_referrer,string,The HTTP referrer used in the request. The W3C specification and many implementations misspell this as http_referer. A FIELDALIAS is recommended to handle both key names.,
4.3.1,Web,Web,http_user_agent,string,The user agent used in the request.,
4.3.1,Web,Web,http_user_agent_length,number,The length of the user agent used in the request.,
4.3.1,Web,Web,response_time,number,"The amount of time it took to receive a response, if applicable, in milliseconds.",
4.3.1,Web,Web,site,string,"The virtual site which services the request, if applicable.",
4.3.1,Web,Web,src,string,The source of the network traffic (the client requesting the connection).,
4.3.1,Web,Web,src_bunit,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,src_category,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
4.3.1,Web,Web,src_priority,string,These are derived fields provided by Asset and Identity correlation features of certain advanced applications like the Splunk App for Enterprise Security. They should be left blank when writing add-ons.,
