field,is_recommended
action,true
src,true
src_ip,true
dest,true
dest_ip,true
dest_mac,true
signature,true
signature_id,true
category,true
file_name,true
file_path,true
user,true
protocol,true
query,true
answer,true
recipient,true
src_user,true
type,true
query_type,true
message_type,true
app,true
lease_duration,true
bytes_in,true
bytes_out,true
http_content_type,true
http_method,true
http_user_agent,true
status,true
url,true
vendor_product,true
severity,true
ssl_end_time,true
ssh_hash,true
ssl_issuer,true
ssl_issuer_email_domain,true
ssl_serial,true
ssl_start_time,true
ssl_subject,true
ssl_subject_common_name,true
ssl_subject_email_domain,true
change_type,true
command,true
dvc,true
object,true
object_attrs,true
object_category,true
object_id,true
object_path,true
result,true
result_id,true
dest_nt_domain,true
src_nt_domain,true
image_id,true
instance_type,true
object_size,true
tenant_id,true
user_agent,true
dlp_type,true
recipient_domain,true
src_user_domain,true
dest_port,true
src_port,true
transport,true
original_file_name,true
parent_process,true
parent_process_name,true
process,true
process_name,true
service,true
service_id,true
service_name,true
start_mode,true
file_access_time,true
file_create_time,true
file_hash,true
file_modify_time,true
file_name,true
file_path,true
file_acl,true
file_size,true
registry_path,true
registry_key_name,true
registry_value_data,true
registry_value_name,true
registry_value_type,true
ids_type,true
date,true
product_version,true
signature_version,true
answer,true
message_type,true
reply_code,true
reply_code_id,true
dest_dns,true
dest_nt_host,true
bytes,true
rule,true
cpu_load_percent,true
temperature,true
mem,true
mem_free,true
mem_used,true
storage_free,true
storage_free_percent,true
storage_used,true
storage_used_percent,true
thruput,true
uptime,true
cve,true
http_referrer,true
http_referrer_domain,true
url,true
url_domain,true
